+----------------------------------------------------------------------------+
| Statistics from last 100 episodes:                                         |
|----------------------------------------------------------------------------|
| Episodes   | Time       | Mean Score     | Mean Max Tile  | Max Tile       |
|       9300 |     161.19 |       14256.61 |        1070.08 |           2048 |
|       9400 |     157.14 |       14263.76 |         998.40 |           2048 |
|       9500 |     158.19 |       14271.02 |         990.72 |           2048 |
|       9600 |     161.66 |       14281.09 |        1039.36 |           2048 |
|       9700 |     184.93 |       14302.21 |        1131.52 |           2048 |
|       9800 |     160.85 |       14313.69 |        1057.28 |           2048 |
|       9900 |     161.36 |       14324.86 |        1009.92 |           2048 |
|      10000 |     171.65 |       14348.73 |        1136.64 |           4096 |
Model saved to td_agent_episode_ft10000.pkl
|      10100 |     339.06 |       14356.48 |        1029.12 |           2048 |
|      10200 |     179.92 |       14363.78 |        1021.44 |           2048 |
|      10300 |     162.10 |       14372.00 |        1018.88 |           2048 |
|      10400 |     165.96 |       14385.41 |        1052.16 |           2048 |
|      10500 |     153.97 |       14384.60 |         954.88 |           2048 |
|      10600 |     168.21 |       14402.49 |        1085.44 |           2048 |
|      10700 |     179.69 |       14412.62 |        1044.48 |           2048 |
|      10800 |     152.30 |       14409.49 |         949.76 |           2048 |
|      10900 |     155.57 |       14409.93 |         985.60 |           2048 |
|      11000 |     168.76 |       14423.67 |        1044.48 |           2048 |
Model saved to td_agent_episode_ft11000.pkl
|      11100 |     272.74 |       14442.63 |        1113.60 |           4096 |
|      11200 |     187.05 |       14459.25 |        1082.88 |           2048 |
|      11300 |     167.55 |       14473.20 |        1064.96 |           4096 |
|      11400 |     176.60 |       14496.46 |        1100.80 |           2048 |
|      11500 |     156.53 |       14497.43 |         983.04 |           2048 |
|      11600 |     186.60 |       14511.99 |        1072.64 |           2048 |
|      11700 |     161.27 |       14518.33 |         998.40 |           2048 |
|      11800 |     170.75 |       14534.28 |        1100.80 |           2048 |
|      11900 |     168.66 |       14547.30 |        1064.96 |           2048 |
|      12000 |     158.14 |       14549.92 |        1000.96 |           2048 |
Model saved to td_agent_episode_ft12000.pkl
|      12100 |     269.07 |       14563.82 |        1067.52 |           2048 |
|      12200 |     167.76 |       14576.46 |        1075.20 |           2048 |
|      12300 |     158.50 |       14579.03 |         980.48 |           4096 |
|      12400 |     180.08 |       14585.94 |        1044.48 |           2048 |
|      12500 |     164.19 |       14593.92 |        1049.60 |           2048 |
|      12600 |     160.57 |       14599.61 |        1049.60 |           4096 |
|      12700 |     168.75 |       14617.74 |        1141.76 |           2048 |
|      12800 |     164.67 |       14627.64 |        1076.48 |           4096 |
|      12900 |     192.61 |       14645.41 |        1152.00 |           2048 |
|      13000 |     178.19 |       14665.48 |        1126.40 |           2048 |
Model saved to td_agent_episode_ft13000.pkl
|      13100 |     266.09 |       14667.46 |         998.40 |           2048 |
|      13200 |     150.15 |       14659.63 |         929.28 |           2048 |
|      13300 |     168.85 |       14670.50 |        1072.64 |           4096 |
|      13400 |     165.16 |       14678.08 |        1036.80 |           2048 |
|      13500 |     192.15 |       14693.34 |        1111.04 |           2048 |
|      13600 |     162.59 |       14698.40 |        1072.64 |           2048 |
|      13700 |     163.66 |       14703.00 |        1013.76 |           2048 |
|      13800 |     172.16 |       14715.37 |        1077.76 |           2048 |
|      13900 |     169.80 |       14726.22 |        1085.44 |           2048 |
|      14000 |     169.49 |       14735.86 |        1072.64 |           2048 |
Model saved to td_agent_episode_ft14000.pkl
|      14100 |     257.47 |       14734.83 |         975.36 |           2048 |
|      14200 |     194.90 |       14750.37 |        1121.28 |           2048 |
|      14300 |     162.41 |       14752.25 |        1018.88 |           2048 |
|      14400 |     162.62 |       14754.55 |         993.28 |           2048 |
|      14500 |     160.88 |       14756.07 |        1039.36 |           2048 |
|      14600 |     163.12 |       14760.05 |        1062.40 |           4096 |
|      14700 |     170.17 |       14768.47 |        1047.04 |           2048 |
|      14800 |     174.61 |       14781.92 |        1139.20 |           2048 |
|      14900 |     164.95 |       14787.00 |        1036.80 |           2048 |
|      15000 |     161.28 |       14787.23 |         960.00 |           2048 |
Model saved to td_agent_episode_ft15000.pkl
|      15100 |     259.94 |       14783.73 |         949.76 |           2048 |
|      15200 |     170.59 |       14792.72 |        1062.40 |           4096 |
|      15300 |     188.73 |       14800.74 |        1052.16 |           2048 |
|      15400 |     166.22 |       14804.29 |         983.04 |           2048 |
|      15500 |     167.93 |       14810.12 |        1061.12 |           2048 |
|      15600 |     184.97 |       14830.63 |        1195.52 |           4096 |
|      15700 |     164.20 |       14833.00 |        1029.12 |           2048 |
|      15800 |     161.47 |       14833.45 |         993.28 |           4096 |
|      15900 |     167.54 |       14838.73 |        1021.44 |           2048 |
|      16000 |     172.47 |       14848.39 |        1118.72 |           4096 |
Model saved to td_agent_episode_ft16000.pkl
|      16100 |     274.90 |       14852.98 |        1062.40 |           2048 |
|      16200 |     164.83 |       14856.30 |        1047.04 |           2048 |
|      16300 |     163.23 |       14858.26 |        1016.32 |           2048 |
|      16400 |     197.18 |       14872.28 |        1149.44 |           4096 |
|      16500 |     167.18 |       14877.43 |        1026.56 |           4096 |
|      16600 |     172.30 |       14886.49 |        1112.32 |           4096 |
|      16700 |     195.90 |       14897.09 |        1095.68 |           4096 |
|      16800 |     172.17 |       14905.28 |        1082.88 |           4096 |
|      16900 |     163.71 |       14907.93 |        1052.16 |           4096 |
|      17000 |     170.09 |       14915.39 |        1103.36 |           4096 |
Model saved to td_agent_episode_ft17000.pkl
|      17100 |     284.41 |       14920.38 |        1036.80 |           2048 |
|      17200 |     173.06 |       14929.47 |        1098.24 |           4096 |
|      17300 |     167.63 |       14933.68 |        1052.16 |           2048 |
